Complexity,Loss,Equation
1,0.003959423,"x1"
3,0.0037622296,"x1 - -0.0140419975"
5,0.0037622286,"(x1 - 7.4325542) + 7.446597"
6,0.0033212663,"square(x1 - -0.5999529) + -0.36182323"
7,0.0030387468,"(x1 + square(x1)) - square(x0)"
