Complexity,Loss,Equation
1,0.0001229061,"x1"
3,0.00012286565,"x1 - -0.0002011248"
5,0.000120692355,"x1 - (x0 * 0.0019233321)"
6,0.00012066717,"x1 - cube(x0 * 0.12704165)"
7,0.0001206259,"(x1 - (x0 * 0.0019556219)) * 0.9996108"
8,0.00012029429,"x1 - ((x0 + sin(x2)) * 0.002484983)"
9,0.000119744356,"x1 - ((x2 + (x0 * 1.9999489)) * 0.0014736473)"
10,0.000119661934,"x1 - cube(cos(x1) * cube(x0 * 0.5236502))"
11,0.00011896021,"x1 - cube(cube(cube(x0 * 0.7670209)) * cos(x1))"
12,0.00011841211,"x1 - cube(cube((cube(cube(x0)) * cos(x1)) * 0.2671606))"
13,0.00011840836,"x1 - cube(cube((cos(sin(x1)) * cube(cube(x0))) * 0.27152076))"
16,0.000118236865,"x1 - cube(x0 * cube((x2 * x2) * cube((x0 * 0.73617786) * x0)))"
18,0.00011823482,"x1 - cube((x2 - x0) * cube(cube((((x0 * x0) * x0) * x2) * 0.63659954)))"
19,0.00011772632,"x1 - cube(cube((cube((x0 * 0.7359909) * x0) * x0) * (x2 * x2)) * cos(x1))"
20,0.00011762327,"x1 - cube(cos(square(x1)) * cube(((x0 * x2) * cube((x0 * 0.731992) * x0)) * x2))"
22,0.000117618234,"x1 - cube(cos(square(x1)) * sin(cube(cube(x0 * (x0 * 0.7332865)) * (x0 * x2)) * cube(x2)))"
23,0.00011759912,"x1 - cube(cube(x2) * (cos(square(x1 / x2)) * cube(x0 * (cube(x0 * (x0 * 0.7332865)) * x2))))"
24,0.000117505144,"x1 - (cube(cube((cube(x0 * (x0 * 0.7322826)) * x2) * (x2 * x0)) * cos(square(x1))) * (x2 * x2))"
