Complexity,Loss,Equation
1,0.003959423,"x1"
3,0.0037622296,"x1 + 0.014041997"
6,0.0025197312,"sqrt(x1 + 1.496959) + -1.2202961"
7,0.0015660545,"sqrt(square(x1 + 0.648757)) + -0.6409973"
8,0.0010274567,"(x1 + 1.3687626) - sqrt(x1 + 1.8601233)"
9,0.0006717443,"x1 + square(sqrt(x1 + 1.4797575) + -1.3260424)"
10,0.0005010699,"x1 + square(square(x1 - 0.30726102) - square(x1))"
11,0.00043772356,"(x1 + sqrt(square(x1 + x0) + 0.5840486)) + -0.7610147"
